datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name,M01AB_stock,M01AB_stock_status,M01AE_stock,M01AE_stock_status,N02BA_stock,N02BA_stock_status,N02BE_stock,N02BE_stock_status,N05B_stock,N05B_stock_status,N05C_stock,N05C_stock_status,R03_stock,R03_stock_status,R06_stock,R06_stock_status,Day
2014-01-02,0,3,3,32,7,0,0,2,2014,1,Thursday,452,High Stock,359,High Stock,469,High Stock,447,High Stock,357,High Stock,449,High Stock,350,High Stock,498,High Stock,2
2014-01-03,8,4,4,50,16,0,20,4,2014,1,Friday,444,High Stock,355,High Stock,465,High Stock,397,High Stock,341,High Stock,449,High Stock,330,High Stock,494,High Stock,3
2014-01-04,2,1,6,61,10,0,9,1,2014,1,Saturday,442,High Stock,354,High Stock,458,High Stock,335,High Stock,331,High Stock,449,High Stock,321,High Stock,493,High Stock,4
2014-01-05,4,3,7,41,8,0,3,0,2014,1,Sunday,438,High Stock,351,High Stock,451,High Stock,294,High Stock,323,High Stock,449,High Stock,318,High Stock,493,High Stock,5
2014-01-06,5,1,4,21,16,2,6,2,2014,1,Monday,433,High Stock,350,High Stock,447,High Stock,272,High Stock,307,High Stock,447,High Stock,312,High Stock,491,High Stock,6
2014-01-07,0,0,0,0,0,0,0,0,2014,1,Tuesday,433,High Stock,350,High Stock,447,High Stock,272,High Stock,307,High Stock,447,High Stock,312,High Stock,491,High Stock,7
2014-01-08,5,3,10,26,19,1,10,0,2014,1,Wednesday,427,High Stock,347,High Stock,436,High Stock,245,High Stock,288,High Stock,446,High Stock,302,High Stock,491,High Stock,8
2014-01-09,7,1,8,25,16,0,3,2,2014,1,Thursday,420,High Stock,345,High Stock,428,High Stock,220,High Stock,272,High Stock,446,High Stock,299,High Stock,489,High Stock,9
2014-01-10,5,2,2,53,15,2,0,2,2014,1,Friday,415,High Stock,343,High Stock,426,High Stock,167,Medium Stock,257,High Stock,444,High Stock,299,High Stock,487,High Stock,10
2014-01-11,5,4,10,52,14,0,1,0,2014,1,Saturday,410,High Stock,339,High Stock,416,High Stock,115,Medium Stock,243,High Stock,444,High Stock,298,High Stock,486,High Stock,11
2014-01-12,2,0,2,12,8,0,1,1,2014,1,Sunday,408,High Stock,338,High Stock,413,High Stock,103,Medium Stock,235,High Stock,444,High Stock,297,High Stock,485,High Stock,12
2014-01-13,7,7,6,52,9,0,7,1,2014,1,Monday,401,High Stock,330,High Stock,407,High Stock,51,Low Stock,226,High Stock,444,High Stock,290,High Stock,484,High Stock,13
2014-01-14,6,1,12,33,6,1,0,2,2014,1,Tuesday,395,High Stock,329,High Stock,395,High Stock,17,Low Stock,220,High Stock,443,High Stock,290,High Stock,482,High Stock,14
2014-01-15,4,2,5,26,12,2,3,3,2014,1,Wednesday,391,High Stock,327,High Stock,390,High Stock,194,Medium Stock,208,High Stock,441,High Stock,287,High Stock,479,High Stock,15
2014-01-16,6,2,4,28,19,1,5,0,2014,1,Thursday,385,High Stock,325,High Stock,386,High Stock,166,Medium Stock,189,Medium Stock,440,High Stock,282,High Stock,479,High Stock,16
2014-01-17,2,3,8,20,15,0,6,3,2014,1,Friday,383,High Stock,321,High Stock,377,High Stock,146,Medium Stock,174,Medium Stock,440,High Stock,276,High Stock,476,High Stock,17
2014-01-18,1,5,5,43,15,4,7,2,2014,1,Saturday,382,High Stock,316,High Stock,371,High Stock,103,Medium Stock,159,Medium Stock,436,High Stock,269,High Stock,474,High Stock,18
2014-01-19,4,4,4,14,4,0,1,1,2014,1,Sunday,378,High Stock,312,High Stock,367,High Stock,88,Medium Stock,155,Medium Stock,436,High Stock,268,High Stock,473,High Stock,19
2014-01-20,6,3,3,11,18,2,12,3,2014,1,Monday,372,High Stock,308,High Stock,364,High Stock,77,Low Stock,137,Medium Stock,434,High Stock,256,High Stock,470,High Stock,20
2014-01-21,2,3,4,42,15,2,0,1,2014,1,Tuesday,370,High Stock,305,High Stock,360,High Stock,35,Low Stock,122,Medium Stock,432,High Stock,256,High Stock,469,High Stock,21
2014-01-22,7,3,7,18,10,0,5,2,2014,1,Wednesday,363,High Stock,302,High Stock,353,High Stock,357,High Stock,112,Medium Stock,432,High Stock,251,High Stock,467,High Stock,22
2014-01-23,4,4,5,26,2,3,1,3,2014,1,Thursday,359,High Stock,297,High Stock,348,High Stock,331,High Stock,110,Medium Stock,429,High Stock,250,High Stock,464,High Stock,23
2014-01-24,4,7,7,19,13,1,0,0,2014,1,Friday,354,High Stock,290,High Stock,341,High Stock,312,High Stock,97,Medium Stock,428,High Stock,250,High Stock,464,High Stock,24
2014-01-25,6,9,5,37,18,0,5,1,2014,1,Saturday,348,High Stock,281,High Stock,336,High Stock,274,High Stock,79,Low Stock,428,High Stock,245,High Stock,463,High Stock,25
2014-01-26,4,1,0,24,4,0,0,0,2014,1,Sunday,344,High Stock,279,High Stock,336,High Stock,250,High Stock,375,High Stock,428,High Stock,245,High Stock,463,High Stock,26
2014-01-27,4,4,1,23,17,2,1,3,2014,1,Monday,339,High Stock,275,High Stock,335,High Stock,226,High Stock,358,High Stock,426,High Stock,244,High Stock,460,High Stock,27
2014-01-28,6,3,2,13,22,5,1,5,2014,1,Tuesday,333,High Stock,271,High Stock,332,High Stock,213,High Stock,336,High Stock,421,High Stock,243,High Stock,455,High Stock,28
2014-01-29,5,4,2,14,10,1,1,2,2014,1,Wednesday,328,High Stock,267,High Stock,330,High Stock,199,Medium Stock,326,High Stock,420,High Stock,242,High Stock,453,High Stock,29
2014-01-30,3,1,2,25,7,1,3,2,2014,1,Thursday,325,High Stock,266,High Stock,328,High Stock,173,Medium Stock,319,High Stock,419,High Stock,239,High Stock,451,High Stock,30
2014-01-31,1,2,7,26,9,0,1,0,2014,1,Friday,324,High Stock,263,High Stock,320,High Stock,146,Medium Stock,310,High Stock,419,High Stock,238,High Stock,451,High Stock,31
2014-02-01,4,4,5,43,13,1,14,0,2014,2,Saturday,319,High Stock,259,High Stock,315,High Stock,103,Medium Stock,297,High Stock,418,High Stock,224,High Stock,451,High Stock,1
2014-02-02,7,3,0,13,6,2,8,0,2014,2,Sunday,312,High Stock,256,High Stock,315,High Stock,90,Medium Stock,291,High Stock,416,High Stock,216,High Stock,451,High Stock,2
2014-02-03,5,1,8,32,16,1,1,0,2014,2,Monday,307,High Stock,255,High Stock,307,High Stock,58,Low Stock,275,High Stock,415,High Stock,215,High Stock,451,High Stock,3
2014-02-04,1,3,7,30,8,1,17,2,2014,2,Tuesday,306,High Stock,252,High Stock,300,High Stock,27,Low Stock,267,High Stock,414,High Stock,198,Medium Stock,449,High Stock,4
